ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/3/0/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",0,,Масштабированное излучение,,,Числ.,Operational,Original
grib2/4/2/3/0/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",1,,Масштабированное альбедо,,,Числ.,Operational,Original
grib2/4/2/3/0/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",2,,Масштабированная яркостная температура,,,Числ.,Operational,Original
grib2/4/2/3/0/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",3,,Масштабированная осажденная вода,,,Числ.,Operational,Original
grib2/4/2/3/0/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",4,,Масштабированный подъемный индекс,,,Числ.,Operational,Original
grib2/4/2/3/0/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",5,,Масштабированное давление на верхней границе облачности,,,Числ.,Operational,Original
grib2/4/2/3/0/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",6,,Масштабированная температура поверхностного слоя,,,Числ.,Operational,Original
grib2/4/2/3/0/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",7,,Маска облачности,,,(Кодовая таблица 4.217),Operational,Original
grib2/4/2/3/0/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",8,,"Тип облачности, задаваемой пикселем",,,(Кодовая таблица 4.218),Operational,Original
grib2/4/2/3/0/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",9,,Индикатор обнаружения пожара,,,(Кодовая таблица 4.223),Operational,Original
grib2/4/2/3/0/10-191,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",10-191,,Зарезервированы,,,,Operational,Original
grib2/4/2/3/0/192-254,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/4/2/3/0/255,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 3 — Космическая продукция, категория параметра 0: продукция в формате изображений",255,,Отсутствующий,,,,Operational,Original
