ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/0/0/0,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,0,,Метеорологическая продукция,,,,Operational,Original
grib2/0/0/1,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,1,,Гидрологическая продукция,,,,Operational,Original
grib2/0/0/2,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,2,,"Продукция, связанная с поверхностью суши",,,,Operational,Original
grib2/0/0/3,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,3,,Продукция спутникового дистанционного зондирования (ранее «Космическая продукция»),,,,Operational,Original
grib2/0/0/4,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,4,,"Продукция, связанная с космической погодой",,,,Operational,Original
grib2/0/0/5-9,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,5-9,,Зарезервированы,,,,Operational,Original
grib2/0/0/10,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,10,,Океанографическая продукция,,,,Operational,Original
grib2/0/0/11-191,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,11-191,,Зарезервированы,,,,Operational,Original
grib2/0/0/192-254,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,192-254,,Зарезервированы для местного использования,,,,Operational,Original
grib2/0/0/255,"Дисциплина обработанных данных в сообщении GRIB, номер эталонной таблицы GRIB",,255,,Отсутствующее,,,,Operational,Original
