ID,Title_ru,SubTitle_ru,CodeFlag,Value,MeaningParameterDescription_ru,Note_ru,noteIDs,UnitComments_ru,Status,translated_by
grib2/4/2/1/2/0,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",0,,Глубина воды,,,м,Operational,Original
grib2/4/2/1/2/1,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",1,,Температура воды,,,K,Operational,Original
grib2/4/2/1/2/2,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",2,,Водная фракция,,,Пропорция,Operational,Original
grib2/4/2/1/2/3,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",3,,Толщина наносов,,,м,Operational,Original
grib2/4/2/1/2/4,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",4,,Температура наносов,,,K,Operational,Original
grib2/4/2/1/2/5,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",5,,Толщина льда,,,м,Operational,Original
grib2/4/2/1/2/6,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",6,,Температура льда,,,K,Operational,Original
grib2/4/2/1/2/7,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",7,,Ледяной покров,,,Пропорция,Operational,Original
grib2/4/2/1/2/8,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",8,,"Земной покров (0 = вода, 1 = суша)",,,Пропорция,Operational,Original
grib2/4/2/1/2/9,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",9,,Фактор формы по отношению к профилю солености,,,-,Operational,Original
grib2/4/2/1/2/10,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",10,,Фактор формы по отношению к профилю температуры в термоклине,,,-,Operational,Original
grib2/4/2/1/2/11,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",11,,Коэффициент ослабления солнечной радиации водой,,,м-1,Operational,Original
grib2/4/2/1/2/12,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",12,,Соленость,,,кг ⋅ кг-1,Operational,Original
grib2/4/2/1/2/13,"Номер параметра, согласно дисциплине продукции и категории параметра","Дисциплина продукции 1 — Гидрологическая продукция, категория параметра 2: свойства внутренних вод и наносов",13,,Площадь поперечного сечения потока в русле,,,м2,Operational,Original
