ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translated_by
grib2/4/2/1/0/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",0,,Avis de crue soudaine (codé en tant qu'accumulation sur un sous-intervalle variable entre l'heure de référence et l'heure de validité),,,kg m-2,Operational,Original
grib2/4/2/1/0/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",1,,Écoulement de la crue soudaine (codé en tant qu'accumulation sur un sous-intervalle variable),,,kg m-2,Operational,Original
grib2/4/2/1/0/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",2,,Couverture neigeuse télédétectée,,,(Table de code 4.215),Operational,Original
grib2/4/2/1/0/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",3,,Altitude du terrain couvert de neige,,,(Table de code 4.216),Operational,Original
grib2/4/2/1/0/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",4,,"Équivalent en eau de la neige, en pourcentage par rapport à la normale",,,%,Operational,Original
grib2/4/2/1/0/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",5,,Écoulement souterrain de base,,,kg m-2,Operational,Original
grib2/4/2/1/0/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",6,,Ruissellement résultant des pluies d'orage,,,kg m-2,Operational,Original
grib2/4/2/1/0/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",7,,"Débit des fleuves, rivières ou autres cours d'eau",,,m³ s-1,Operational,Original
grib2/4/2/1/0/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",8,,Réserve d'eau souterraine supérieure,,,kg m-2,Operational,Original
grib2/4/2/1/0/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",9,,Réserve d'eau souterraine inférieure,,,kg m-2,Operational,Original
grib2/4/2/1/0/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",10,,Écoulement entrant dans le lit du cours d'eau,,,m³ s-1 m-1,Operational,Original
grib2/4/2/1/0/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",11,,Réserve d'eau dans les cours d'eau,,,m³,Operational,Original
grib2/4/2/1/0/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",12,,Réserve d'eau dans la plaine d'inondation,,,m³,Operational,Original
grib2/4/2/1/0/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",13,,Profondeur de l'eau à la surface du sol,,,kg m-2,Operational,Original
grib2/4/2/1/0/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",14,,Cumul des précipitations en amont,,,kg m-2,Operational,Original
grib2/4/2/1/0/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",15,,Cumul de l'eau de fonte en amont,,,kg m-2,Operational,Original
grib2/4/2/1/0/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",16,,Taux de percolation,,,kg m-2 s-1,Operational,Original
grib2/4/2/1/0/17-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",17-191,,En réserve,,,,Operational,Original
grib2/4/2/1/0/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",192-254,,En réserve pour un usage local,,,,Operational,Original
grib2/4/2/1/0/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 1 – Produits hydrologiques, Catégorie de paramètres 0: produits hydrologiques de base",255,,Valeur manquante,,,,Operational,Original
