ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/4/2/0/7/0,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",0,,Indice de soulèvement d'une particule (à 500 hPa),,,K,Operational,PDF
grib2/4/2/0/7/1,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",1,,Indice de soulèvement optimal (à 500 hPa),,,K,Operational,PDF
grib2/4/2/0/7/2,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",2,,Indice K,,,K,Operational,PDF
grib2/4/2/0/7/3,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",3,,Indice KO,,,K,Operational,PDF
grib2/4/2/0/7/4,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",4,,Indice total-total,,,K,Operational,PDF
grib2/4/2/0/7/5,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",5,,Indice SWEAT,,,Numérique,Operational,PDF
grib2/4/2/0/7/6,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",6,,Énergie convective potentielle disponible,,,J kg-1,Operational,PDF
grib2/4/2/0/7/7,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",7,,Inhibition convective,,,J kg-1,Operational,PDF
grib2/4/2/0/7/8,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",8,,Hélicité relative des orages,,,J kg-1,Operational,PDF
grib2/4/2/0/7/9,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",9,,Indice d'hélicité de l'énergie,,,Numérique,Operational,PDF
grib2/4/2/0/7/10,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",10,,Indice de soulèvement en surface,,,K,Operational,PDF
grib2/4/2/0/7/11,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",11,,Meilleur indice de soulèvement (4 couches),,,K,Operational,PDF
grib2/4/2/0/7/12,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",12,,Nombre de Richardson,,,Numérique,Operational,PDF
grib2/4/2/0/7/13,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",13,,Indice de Showalter,,,K,Operational,PDF
grib2/4/2/0/7/14,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",14,,En réserve,,,,Operational,PDF
grib2/4/2/0/7/15,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",15,,Hélicité du courant ascendant,,,m² s-2,Operational,PDF
grib2/4/2/0/7/16,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",16,,Nombre global de Richardson,,,Numérique,Operational,PDF
grib2/4/2/0/7/17,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",17,,Nombre de Richardson de gradient,,,Numérique,Operational,PDF
grib2/4/2/0/7/18,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",18,,Nombre de Richardson de flux,,,Numérique,Operational,PDF
grib2/4/2/0/7/19,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",19,,Énergie convective potentielle disponible – cisaillement,,,m² s-2,Operational,PDF
grib2/4/2/0/7/20-191,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",20-191,,En réserve,,,,Operational,PDF
grib2/4/2/0/7/192-254,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",192-254,,En réserve pour un usage local,,,,Operational,PDF
grib2/4/2/0/7/255,Tabla de cifrado 4.2 — Número de parámetros por campo de especialización y categoría de parámetros,"Domaine de spécialisation 0 – Produits météorologiques, Catégorie de paramètres 7: indices de stabilité thermodynamique",255,,Valeur manquante,,,,Operational,PDF
