ID,Title_fr,SubTitle_fr,CodeFlag,Value,MeaningParameterDescription_fr,Note_fr,noteIDs,UnitComments_fr,Status,translation_source
grib2/1/4/0,Table de code 1.4 – Type de données,,0,,Analyse,,,,Operational,PDF
grib2/1/4/1,Table de code 1.4 – Type de données,,1,,Prévision,,,,Operational,PDF
grib2/1/4/2,Table de code 1.4 – Type de données,,2,,Analyse et prévision,,,,Operational,PDF
grib2/1/4/3,Table de code 1.4 – Type de données,,3,,Prévision de contrôle,,,,Operational,PDF
grib2/1/4/4,Table de code 1.4 – Type de données,,4,,Prévision «perturbée»,,,,Operational,PDF
grib2/1/4/5,Table de code 1.4 – Type de données,,5,,Prévision de contrôle et prévision «perturbée»,,,,Operational,PDF
grib2/1/4/6,Table de code 1.4 – Type de données,,6,,Observations par satellites après traitement,,,,Operational,PDF
grib2/1/4/7,Table de code 1.4 – Type de données,,7,,Observations radar après traitement,,,,Operational,PDF
grib2/1/4/8,Table de code 1.4 – Type de données,,8,,Probabilité d'occurrence d'un phénomène,,,,Operational,PDF
grib2/1/4/9-191,Table de code 1.4 – Type de données,,9-191,,En réserve,,,,Operational,PDF
grib2/1/4/192-254,Table de code 1.4 – Type de données,,192-254,,En réserve pour un usage local,,,,Operational,PDF
grib2/1/4/255,Table de code 1.4 – Type de données,,255,,Valeur manquante,,,,Operational,PDF
