ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translation_source
grib2/3/4/15,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,15,1,Форма Земли,см. кодовую таблицу 3.2,,3.2,,Operational,PDF
grib2/3/4/16,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,16,1,Масштабный коэффициент радиуса сферической Земли,,,,,Operational,PDF
grib2/3/4/17-20,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,17-20,4,Масштабированная величина радиуса сферической Земли,,,,,Operational,PDF
grib2/3/4/21,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,21,1,Масштабный коэффициент большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/4/22-25,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,22-25,4,Масштабированная величина большой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/4/26,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,26,1,Масштабный коэффициент малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/4/27-30,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,27-30,4,Масштабированная величина малой оси сплюснутого сфероида Земли,,,,,Operational,PDF
grib2/3/4/31-34,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,31-34,4,Ni – количество узлов вдоль параллели,,,,,Operational,PDF
grib2/3/4/35-38,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,35-38,4,Nj – количество узлов вдоль меридиана,,,,,Operational,PDF
grib2/3/4/39-42,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,39-42,4,Основной угол начальной продукционной области,см. примечание 1,9,,,Operational,PDF
grib2/3/4/43-46,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,43-46,4,"Подразделения основного угла, использованные для определения экстремальных долгот и широт и приращений по направлениям",(см. примечание 1),9,,,Operational,PDF
grib2/3/4/47,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,47,1,Флаги разрешения и компонентов (см. таблицу флагов 3.3 и примечание 2),,114,,3.3,Operational,PDF
grib2/3/4/48,Образец определения сетки 3.4 — широтно-долготная с переменным разрешением,48,1,Режим сканирования (флаги — см. таблицу флагов 3.4) 49–ii Список долгот (см. примечания 1 и 3) (ii+1)– jj Список широт (см. примечания 1 и 3),,,,3.4,Operational,PDF
