ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/34/10,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/34/11,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/34/12,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/34/13,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/34/14,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,14,1,Указатель процесса проведения анализа или подготовки прогноза,,,,,Operational,PDF
grib2/4/34/15-16,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,15-16,2,Часы отсечения данных наблюдений после времени начала отсчета,см. примечание 1,33,,,Operational,PDF
grib2/4/34/17,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,17,1,Минуты отсечения данных наблюдений после времени начала отсчета,,,,,Operational,PDF
grib2/4/34/18,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,18,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/34/19-22,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,19-22,4,Период действия прогноза в единицах,определенных в октете 18,111,,,Operational,PDF
grib2/4/34/23,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,23,1,Количество участвующих спектральных полос (NB),,,,,Operational,PDF
grib2/4/34//1,Образец определения продукции 4.34 — индивидуальный ансамблевый прогноз,,,Повторить следующие 11 октетов для каждой участвующей полосы (nb = 1,NB) (24+11(nb–1))–(25+11(nb–1)) Спутниковая серия полосы nb (кодовая таблица определяется центром — поставщиком/производителем продукции) (26+11(nb–1))–(27+11(nb–1)) Спутниковый номер полосы nb (кодовая таблица определяется центром — поставщиком/производителем продукции) (28+11(nb–1))–(29+11(nb–1)) Типы приборов полосы nb (кодовая таблица определяется центром — поставщиком/производителем продукции) (30+11(nb–1)) Масштабный коэффициент центрального волнового числа полосы nb (продолж.) (Образец определения продукции 4.34 — продолж.),,,,Operational,PDF
