ID,Title_ru,OctetNo,OctetCount,Contents_ru,Note_ru,noteIDs,codeTable,flagTable,Status,translated_by
grib2/4/51/10,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,10,1,Категория параметра,см. кодовую таблицу 4.1,,4.1,,Operational,PDF
grib2/4/51/11,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,11,1,Номер параметра,см. кодовую таблицу 4.2,,4.2,,Operational,PDF
grib2/4/51/12,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,12,1,Тип процесса подготовки,см. кодовую таблицу 4.3,,4.3,,Operational,PDF
grib2/4/51/13,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,13,1,Указатель основного процесса подготовки (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/51/14,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,14,1,Указатель процесса подготовки прогноза (определяется центром-поставщиком),,,,,Operational,PDF
grib2/4/51/15-16,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,15-16,2,Часы отсечения данных после времени начала отсчета (см. примечание),,33,,,Operational,PDF
grib2/4/51/17,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,17,1,Минуты отсечения данных после времени начала отсчета,,,,,Operational,PDF
grib2/4/51/18,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,18,1,Указатель единицы временного диапазона,см. кодовую таблицу 4.4,,4.4,,Operational,PDF
grib2/4/51/19-22,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,19-22,4,Период действия прогноза в единицах,определенных в октете 18,,,,Operational,PDF
grib2/4/51/23,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,23,1,Тип первой фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/51/24,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,24,1,Масштабный коэффициент первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/51/25-28,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,25-28,4,Масштабированная величина первой фиксированной поверхности,,,,,Operational,PDF
grib2/4/51/29,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,29,1,Тип второй фиксированной поверхности,см. кодовую таблицу 4.5,,4.5,,Operational,PDF
grib2/4/51/30,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,30,1,Масштабный коэффициент второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/51/31-34,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,31-34,4,Масштабированная величина второй фиксированной поверхности,,,,,Operational,PDF
grib2/4/51/35,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,35,1,NC — количество категорий,,,,,Operational,PDF
grib2/4/51/36-,Образец определения продукции 4.51 — категориальные прогнозы по горизонтальному,36-,,Повторить следующие 12 октетов для каждой категории (i = 1,NC) (36+12(i–1)) Кодовая цифра (37+12(i–1)) Тип интервала для первого и второго пределов (см. кодовую таблицу 4.91) (38+12(i–1)) Масштабный коэффициент первого предела (39+12(i–1))–(42+12(i–1)) Масштабированная величина первого предела (43+12(i–1)) Масштабный коэффициент второго предела (44+12(i–1))–(47+12(i–1)) Масштабированная величина второго предела Примечание. Часы,,будут кодироваться как 65534.,,,PDF
