Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Matrices en los puntos de la retícula, empaquetado simple",12-21,,Idéntico al Modelo de representación de los datos 5.0,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",22,,0 - ausencia de mapas de bits matriciales; 1 – presencia de mapas de bits matriciales,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",23-26,,Número de valores de los datos cifrados en la Sección 7,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",27-28,,NR - primera dimensión (líneas) de cada matriz,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",29-30,,NC - segunda dimensión (columnas) de cada matriz,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",31,,Definición del valor de la coordenada de primera dimensión (Tabla de cifrado 5.2),,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",32,,NC1 - número de coeficientes o de valores utilizados para precisar la función correspondiente a la coordenada de primera dimensión,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",33,,Definición del valor de la coordenada de segunda dimensión (Tabla de cifrado 5.2),,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",34,,NC2 - número de coeficientes o de valores utilizados para precisar la función correspondiente a la coordenada de segunda dimensión,,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",35,,Significación física de primera dimensión (Tabla de cifrado 5.3),,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",36,,Significación física de segunda dimensión (Tabla de cifrado 5.3),,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",37-(36+NC1 x 4),,"Coeficientes que definen en forma de funciones los valores de las coordenadas de primera dimensión, o valores explícitos de las coordenadas (valor de coma flotante IEEE de 32 bits)",,,,,Experimental
"Matrices en los puntos de la retícula, empaquetado simple",(37+NC1 x 4)-(36+4(NC1+NC2)),,"Coeficientes que definen en forma de funciones los valores de las coordenadas de segunda dimensión, o valores explícitos de las coordenadas (valor de coma flotante IEEE de 32 bits)",,,,,Experimental
