Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,10,,Categoría del parámetro,véase la Tabla de cifrado 4.1,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,11,,Número del parámetro,véase la Tabla de cifrado 4.2,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,12,,Tipo de proceso de producción,véase la Tabla de cifrado 4.3,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,13,,Identificador del proceso de producción de base,definido por el centro de origen,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,14,,Identificador del proceso de producción de la previsión,definido por el centro de origen,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,15-16,,Límite de recogida de datos de observación después de la hora de referencia,horas; véase la nota,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,17,,Límite de recogida de datos de observación después de la hora de referencia,minutos,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,18,,Indicador de unidad del intervalo de tiempo,véase la Tabla de cifrado 4.4,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,19-22,,Hora de la previsión expresa en la unidad precisada por el octeto 18,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,23,,Tipo de la primera superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,24,,Factor de escala de la primera superficie especificada,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,25-28,,Valor ajustado de la primera superficie especificada,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,29,,Tipo de la segunda superficie especificada,véase la Tabla de cifrado 4.5,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,30,,Factor de escala de la segunda superficie especificada,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,31-34,,Valor ajustado de la segunda superficie especificada,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,35,,Número de la probabilidad prevista,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,36,,Número total de probabilidades previstas,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,37,,Tipo de probabilidad,véase la Tabla de cifrado 4.9,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,38,,Factor de escala del límite inferior,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,39-42,,Valor ajustado del límite inferior,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,43,,Factor de escala del límite superior,,,,,Operational
Previsión de probabilidad para una superficie o una capa horizontal en un momento dado,44-47,,Valor ajustado del límite superior,,,,,Operational
