Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Producto del satélite,10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
Producto del satélite,11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
Producto del satélite,12,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
Producto del satélite,13,,Identificador del proceso de observación (definido por los centros de origen),,,,,Operational
Producto del satélite,14,,Número de bandas espectrales tomadas en consideración (NB),,,,,Operational
Producto del satélite,,,"15- Repítanse los 11 octetos siguientes para cada una de las bandas tomadas en consideración (nb = 1, NB)",,,,,Operational
Producto del satélite,(15+11(nb-1)) – (16+11(nb-1)),,Serie de los satélites de la banda nb (tabla de cifrado establecida por el centro de origen/generación),,,,,Operational
Producto del satélite,(17+11(nb-1)) – (18+11(nb-1)),,Números de los satélites de la banda nb (tabla de cifrado establecida por el centro de origen/generación),,,,,Operational
Producto del satélite,(19+11(nb-1)) – (20+11(nb-1)),,Tipos de instrumento de la banda nb (tabla de cifrado establecida por el centro de origen/generación),,,,,Operational
Producto del satélite,(21+11(nb-1)),,Factor de escala del número de onda central de la banda nb,,,,,Operational
Producto del satélite,(22+11(nb-1)) – (25+11(nb-1)),,Valor ajustado del número de onda central de la banda nb (unidades: m-1),,,,,Operational
