"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","10","","Categoría de parámetro","(véase la Tabla de cifrado 4.1)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","11","","Número del parámetro","(véase la Tabla de cifrado 4.2)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","12","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","13","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","14","","Identificador del proceso de producción de la previsión (definido por el centro de origen)","","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","15-16","","Límite (horas) de recogida de datos después de la hora de referencia","(véase la nota 1)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","17","","Límite (minutos) de recogida de datos después de la hora de referencia","","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","18","","Indicador de la unidad de lapso de tiempo","(véase la Tabla de cifrado 4.4)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","19-22","","Hora de la predicción expresada en la unidad definida por el octeto anterior","(véase la nota 2)","","","","Operational"
"Modelo de definición del producto 4.87 — Predicciones de cuantiles en una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo","23","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Operational"
