Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",12,,Tipo del proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",13,,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",14,,Identificador del proceso de producción de la previsión (definido por el centro de origen),,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",15-16,,Límite (horas) de la recogida de los datos de observación después de la hora de referencia,(véase la nota 1),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",17,,Límite (minutos) de la recogida de los datos de observación después de la hora de referencia,,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",18,,Indicador de unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",19-22,,Hora de la previsión expresada en la unidad precisada por el octeto 18 8,(véase la nota 2),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",23,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",24,,Factor de escala de la primera superficie especificada,,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",25-28,,Valor ajustado de la primera superficie especificada,,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",29,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",30,,Factor de escala de la segunda superficie especificada,,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",31-34,,Valor ajustado de la segunda superficie especificada,,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",35,,Previsión derivada,(véase la Tabla de cifrado 4.7),,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",36,,Número de previsiones en el conjunto (N),,,,,Operational
"Modelo de definición del producto 4.14 – Previsión derivada, sobre la base de un grupo de miembros del conjunto, aplicada a una zona circular, para una superficie o capa horizontal durante un intervalo de tiempo continuo o discontinuo",37,,Identificador de grupo,,,,,Operational
