"Title_es","OctetNo","OctetCount","Contents_es","Note_es","noteIDs","codeTable","flagTable","Status"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","10","","Categoría de parámetros","(véase la Tabla de cifrado 4.1)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","11","","Número de parámetros","(véase la Tabla de cifrado 4.2)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","12","","Clasificación de la placa","(véase la Tabla de cifrado 4.242)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","13","","Número total (NT) de pares de placas/atributos","(véanse las notas 1 y 2)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","14","","Número total de placas espaciales utilizadas (NUT)","(véanse las notas 1 y 2)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","15","","Índice de placas (ITN ={1,..., NUT})","(véase la nota 1)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","16","","Número de atributos de placa utilizados (NAT) para el ITN de las placas","(véase la nota 1)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","17","","Atributo de placa (A ={A(1),..., A(NAT(ITN))})","(véase la Tabla de cifrado 4.241) (véase la nota 1)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","18","","Tipo de proceso de producción","(véase la Tabla de cifrado 4.3)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","19","","Identificador del proceso de producción de base (definido por el centro de origen)","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","20","","Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen)","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","21-22","","Límite (horas) de recogida de datos de observación después de la hora de referencia","(véase la nota 3)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","23","","Límite (minutos) de recogida de datos de observación después de la hora de referencia","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","24","","Indicador de la unidad del intervalo de tiempo","(véase la Tabla de cifrado 4.4)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","25-28","","Hora de la predicción definida mediante el octeto 24","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","29","","Tipo de la primera superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","30","","Factor de escala de la primera superficie especificada","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","31-34","","Valor ajustado de la primera superficie especificada","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","35","","Tipo de la segunda superficie especificada","(véase la Tabla de cifrado 4.5)","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","36","","Factor de escala de la segunda superficie especificada","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","37-40","","Valor ajustado de la segunda superficie especificada","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","41","","Número de la perturbación","","","","","Deprecated"
"Modelo de definición del producto 4.56 – Predicción de conjunto individual, de control y perturbada, para una superficie o capa horizontal en un momento dado, para parámetros de cambios espacio-temporales en las placas","42","","Número de previsiones en el conjunto","","","","","Deprecated"
