Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,12-13,,Tipo de componente químico atmosférico,(véase la Tabla de cifrado 4.230),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,14,,Tipo de proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,15,,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,16,,Identificador del proceso de producción del análisis o de la predicción (definido por el centro de origen),,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,17-18,,Límite (horas) de recogida de datos de observación después de la hora de referencia,(véase la nota),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,19,,Límite (minutos) de recogida de datos de observación después de la hora de referencia,,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,20,,Indicador de la unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,21-24,,"Hora de la predicción, en unidades definidas mediante el octeto 20",,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,25,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,26,,Factor de escala de la primera superficie especificada,,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,27-30,,Valor a escala de la primera superficie especificada,,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,31,,Tipo de la segunda superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,32,,Factor a escala de la segunda superficie especificada,,,,,Operational
Análisis o predicción de componentes químicos atmosféricos para una superficie o capa horizontal en un momento dado,33-36,,Valor a escala de la segunda superficie especificada,,,,,Operational
