Title_es,OctetNo,OctetCount,Contents_es,Note_es,noteIDs,codeTable,flagTable,Status
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",10,,Categoría del parámetro,(véase la Tabla de cifrado 4.1),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",11,,Número del parámetro,(véase la Tabla de cifrado 4.2),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",12,,Tipo del proceso de producción,(véase la Tabla de cifrado 4.3),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",13,,Identificador del proceso de producción de base (definido por el centro de origen),,,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",14,,Identificador del proceso de producción de la previsión (definido por el centro de origen),,,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",15-16,,Límite (horas) de recogida de los datos de observación después de la hora de referencia,(véase la nota 1),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",17,,Límite (minutos) de la recogida de los datos de observación después de la hora de referencia,,,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",18,,Indicador de unidad del intervalo de tiempo,(véase la Tabla de cifrado 4.4),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",19-22,,Hora de la previsión expresa en la unidad precisada por el octeto 18,(véase la nota 2),,,,Operational
"Modelo de definición del producto 4.12 — Previsión derivada basada en todos los Miembros del conjunto, para una superficie o capa horizontal, durante un intervalo de tiempo continuo o discontinuo",23,,Tipo de la primera superficie especificada,(véase la Tabla de cifrado 4.5),,,,Operational
