Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",12,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",13,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",14,,Indicateur du processus de production de la prévision (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",15-16,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",17,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",18,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",19-22,,Heure de la prévision exprimée dans l'unité précisée par l'octet 18,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",23,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",24,,Facteur d'échelle - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",25-28,,Valeur ajustée - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",29,,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",30,,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",31-34,,Valeur ajustée - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",35,,Numéro de la probabilité prévue,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",36,,Nombre total de probabilités prévues,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",37,,Type de probabilité,(voir la table de code 4.9),,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",38,,Facteur d'échelle - limite inférieure,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",39-42,,Valeur ajustée - limite inférieure,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",43,,Facteur d'échelle - limite supérieure,,,,,Operational
"Modèle de définition du produit 4.5 — Prévision de probabilité pour une surface ou une couche horizontale, à un moment donné",44-47,,Valeur ajustée - limite supérieure,,,,,Operational
