Title_fr,OctetNo,OctetCount,Contents_fr,Note_fr,noteIDs,codeTable,flagTable,Status
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",10,,Catégorie du paramètre,(voir la table de code 4.1),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",11,,Numéro du paramètre,(voir la table de code 4.2),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",12,,Classification des dalles,(voir la table de code 4.242),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",13,,Nombre total (NT) de paires de dalles ou de caractéristiques,(voir les notes 1 et 2),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",14,,Nombre de dalles spatiales utilisées (NUT),(voir les notes 1 et 2),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",15,,"Indice de dalle (ITN = {1,..., NUT})",(voir la note 1),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",16,,Nombre de caractéristiques de dalle utilisées (NAT) pour ITN,(voir la note 1),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",17,,"Caractéristique de la dalle (A = {A(1),..., A(NAT(ITN))})",(voir la table de code 4.241)  (voir la note 1),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",18,,Type du processus de production,(voir la table de code 4.3),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",19,,Indicateur du processus de production de base (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",20,,Indicateur du processus de production de l'analyse ou de la prévision (défini par le centre d'origine),,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",21-22,,Limite (heures) de tombée des données d'observation après l'heure de référence,(voir la note 3),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",23,,Limite (minutes) de tombée des données d'observation après l'heure de référence,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",24,,Indicateur d'unité de l'intervalle de temps,(voir la table de code 4.4),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",25-28,,Heure de la prévision exprimée dans l'unité précisée par l'octet 24,(voir la note 4),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",29,,Type de la première surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",30,,Facteur d'échelle - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",31-34,,Valeur ajustée - première surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",35,,Type de la deuxième surface spécifiée,(voir la table de code 4.5),,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",36,,Facteur d'échelle - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",37-40,,Valeur ajustée - deuxième surface spécifiée,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",41-42,,Année,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",43,,Mois,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",44,,Jour,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",45,,Heure,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",46,,Minute,,,,,Operational
"Modèle de définition du produit 4.62 Valeurs moyennes, cumulées et/ou extrêmes, ou autres valeurs statistiques, pour une surface ou une couche horizontale, durant un intervalle de temps continu ou non, relatives à la dynamique spatio temporelle de mosaïques pour une surface ou une couche horizontale, à un moment donné",47,,Seconde,,,,,Operational
